dataset,split,model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_rmse_mae_ratio,train_test_mae_ratio,n_train,n_val,n_test,epochs,train_time_h,units,is_small_dataset
phonons,composition,coNGN,0.402178,2.710372,0.99997,34.986892,75.456138,0.974406,44.938164,133.475729,0.927843,2.9702,0.0089,888,126,251,600,0.1536,cm⁻¹,0
phonons,crystalsys,coGN,0.757826,1.294333,0.999993,36.904209,78.722272,0.961656,58.854988,100.113111,0.967521,1.701,0.0129,853,121,291,800,0.0922,cm⁻¹,0
phonons,crystalsys,coNGN,0.287737,0.43242,0.999999,33.228581,67.66132,0.971674,58.842958,136.814055,0.939343,2.3251,0.0049,853,121,291,600,0.1731,cm⁻¹,0
phonons,elements,coGN,0.902535,3.864448,0.999937,52.06367,109.459,0.968254,95.311294,152.165652,0.886687,1.5965,0.0095,832,118,315,800,0.0716,cm⁻¹,0
phonons,elements,coNGN,0.458042,2.673291,0.99997,44.265445,108.158535,0.969003,93.140912,153.16034,0.885201,1.6444,0.0049,832,118,315,600,0.1357,cm⁻¹,0
phonons,index,coGN,0.89622,2.527009,0.999976,38.291987,62.756466,0.983554,45.245391,133.387477,0.88488,2.9481,0.0198,886,126,253,800,0.0918,cm⁻¹,0
phonons,index,coNGN,0.446489,2.081379,0.999984,33.214586,65.611872,0.982023,29.169797,52.130024,0.982417,1.7871,0.0153,886,126,253,600,0.1582,cm⁻¹,0
phonons,periodictablegroups,coGN,1.223939,3.222462,0.999961,31.72591,50.252028,0.986911,78.695379,149.270788,0.889678,1.8968,0.0156,844,120,301,800,0.0895,cm⁻¹,0
phonons,periodictablegroups,coNGN,0.415833,2.078344,0.999984,26.472209,49.22699,0.98744,70.629516,113.974235,0.935683,1.6137,0.0059,844,120,301,600,0.1296,cm⁻¹,0
phonons,pointgroup,coGN,0.752029,3.038566,0.999964,36.409868,67.117457,0.982015,55.375511,106.313757,0.938626,1.9199,0.0136,938,133,194,800,0.1098,cm⁻¹,0
phonons,pointgroup,coNGN,0.435022,2.371601,0.999978,31.652211,48.109612,0.990759,54.922501,112.840129,0.93086,2.0545,0.0079,938,133,194,600,0.1459,cm⁻¹,0
phonons,sgnum,coGN,1.075597,4.779424,0.999914,41.878092,68.412882,0.979367,49.630663,107.982047,0.92695,2.1757,0.0217,904,129,232,800,0.1098,cm⁻¹,0
phonons,sgnum,coNGN,0.486955,2.315941,0.99998,30.590186,51.853399,0.988147,49.526237,106.870599,0.928446,2.1579,0.0098,904,129,232,600,0.1924,cm⁻¹,0
