dataset,split,model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,n_train,n_val,n_test,epochs,train_time_h,units
mp_e_form,sgnum,coNGN,0.0005050458845292298,0.007080887370249964,0.9999593985941886,0.019555444177628563,0.06267612637499385,0.9968613667176267,0.05859932933441909,0.1804657935107745,0.9826066998831474,96544,13791,22386,600,28.5402,eV/atom
mp_gap,chemsys,coGN,0.004154781220965088,0.046807476791072965,0.9991539364612251,0.18837813081037777,0.46859270654545404,0.9150183267539282,0.22897201838660944,0.5153798381184436,0.8906760534761831,73807,10543,21739,800,3.3293,eV
mp_gap,chemsys,coNGN,0.008911039257558184,0.08392893030679115,0.9972798309548592,0.1913266742045998,0.4674750765434288,0.9154232191104791,0.2247119814202969,0.5148449159685248,0.8909028743471695,73807,10543,21739,600,22.5499,eV
mp_gap,composition,coGN,0.005184005161091955,0.06269164571957953,0.9984497889966089,0.18859413164287353,0.46520710668412785,0.9109665088937268,0.2336713040295585,0.5773470091416193,0.8763985844243597,74538,10645,20906,800,3.2409,eV
mp_gap,composition,coNGN,0.009983161462465728,0.09118145180145432,0.9967206748520884,0.19437803461258468,0.4790396206172558,0.9055931317163343,0.23172577088785398,0.5858539803646217,0.8727293172929622,74538,10645,20906,600,22.6851,eV
mp_gap,crystalsys,coGN,0.004408295081282313,0.05120002113131858,0.9989797547015473,0.17600462335211575,0.43892335777874214,0.923694620062627,0.3288382746654575,0.6360258733973174,0.8373553321357823,84159,12024,9906,800,3.9978,eV
mp_gap,crystalsys,coNGN,0.005687448977633837,0.07067544124527136,0.9980559770894111,0.16967665220288983,0.4295779697851407,0.9269093581575439,0.30427859323687734,0.618742723839087,0.8460745352202734,84159,12024,9906,600,25.9848,eV
mp_gap,elements,coGN,0.004743970883316179,0.05714821580647389,0.9986790666943369,0.1818348473724575,0.45151361590217365,0.9198200231362799,0.4815325036173006,0.9013088175201603,0.7149269661832314,73897,10556,21636,800,3.0561,eV
mp_gap,elements,coNGN,0.008140170345717948,0.08400387862625315,0.9971458669414012,0.1726572791446019,0.4297524611517091,0.9273624865802252,0.48550923972173254,0.9427716662015212,0.6880952836752698,73897,10556,21636,600,23.0304,eV
mp_gap,index,coGN,0.004261384431912271,0.04706451900287861,0.999133922567215,0.19202209654313918,0.473890211677545,0.9125297747761867,0.19716167999577908,0.4761811916565287,0.9110512012865851,74267,10608,21214,800,3.348,eV
